date,nav,shares_outstanding,ex_dividends,shares_change,primary_flow_usd,estimated_aum_usd,primary_flow_pct,primary_flow_z,flow_5d,flow_20d,isin,ticker,currency,source,estimated_net_assets_usd,primary_flow_5d,primary_flow_20d,primary_flow_pct_5d,primary_flow_pct_20d
2004-04-29,56.546645,92200000.0,,-800000.0,-45237316.0,,-0.8676789587852495,0.0,,,,,,,5213600669.0,14508818.4,13223286.630000006,0.2543613324169271,0.23677969726771173
2004-04-30,55.81,184400000.0,,92200000.0,5145682000.0,,50.0,0.0,,,,,,,10291364000.0,1015389528.32,264576826.33,9.740442702866606,2.6254211226574666
2004-05-03,56.370853,88800000.0,,-95600000.0,-5389053546.799999,,-107.65765765765765,0.0,,,,,,,5005731746.4,-57721772.559999846,-4875851.009999943,-11.70506732328858,-2.7574617602254157
2004-05-04,56.785815,87800000.0,,-1000000.0,-56785815.0,,-1.1389521640091116,0.0,,,,,,,4985794557.0,-69078935.55999978,-12548060.479999943,-11.932857756090403,-2.9019367207234645
2004-05-05,56.833456,87800000.0,,0.0,0.0,,0.0,0.0,,,,,,,4989977436.8,-69078935.55999978,-12548060.479999943,-11.932857756090403,-2.9019367207234645
2004-05-06,56.145345,90200000.0,,2400000.0,134748828.0,,2.6607538802660753,13.226599283328946,,,,,,,5064310119.0,-33081706.759999774,-2813449.5799999433,-11.227171188280137,-2.713589292196886
2004-05-07,54.698939,85200000.0,,-5000000.0,-273494695.0,,-5.868544600938967,-29.17251700303871,,,,,,,4660349602.8,-1116917045.7599998,-20062306.92999994,-22.40088010846793,-3.072518705649948
2004-05-10,53.637263,83000000.0,,-2200000.0,-118001978.6,,-2.6506024096385543,-5.097257408307044,,,,,,,4451892829.0,-62706732.120000005,-25962405.859999944,-1.399469058864113,-3.2050488261318755
2004-05-11,54.710019,81000000.0,,-2000000.0,-109420038.0,,-2.4691358024691357,-4.7482869235632394,,,,,,,4431511539.0,-73233576.72,-31433407.759999942,-1.6655057865561176,-3.3285056162553324
2004-05-12,54.750553,80200000.0,,-800000.0,-43800442.4,,-0.9975062344139652,-1.4349859001335923,,,,,,,4390994350.599999,-81993665.2,-27823700.579999942,-1.8650070334389106,-3.2667737851188874
2004-05-13,54.57257,80600000.0,,400000.0,21829028.0,,0.49627791563275436,0.6668741762444703,,,,,,,4398549142.0,-104577625.2,-23840864.629999943,-2.297902226365575,-3.185526480759372
2004-05-14,54.23259,86600000.0,,6000000.0,325395540.0,,6.928406466512701,8.923111236282205,,,,,,,4696542294.0,15200421.8,-7571087.629999941,0.2614879871247586,-2.8391061574337373
2004-05-17,53.394306,90600000.0,,4000000.0,213577224.0,,4.415011037527593,5.686103260206321,,,,,,,4837524123.6,81516262.32000001,-1278911.9299999415,1.6746106765579882,-2.7015964490645716
2004-05-18,54.113446,88200000.0,,-2400000.0,-129872270.4,,-2.721088435374149,-3.1171904475350978,,,,,,,4772805937.200001,77425815.84,-12076235.299999941,1.6242201499769855,-2.9195286000909215
