date,shares_outstanding,nav,fund_aum,class_aum,shares_change,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2026-01-08,2657234.0,182.532,802432374.35,485030236.48800004,6400.0,1168204.8,0.002408519535727753,0.2796168734210045,1444841.4724599991,1645943.597895
2026-01-09,2647457.0,182.4763,803249455.3,483098157.7691,-9777.0,-1784070.7851,-0.003692977827401918,-0.7764300505768598,1088027.315439999,1396115.80692
2026-01-12,2650781.0,183.1821,807619885.35,485575630.2201,3324.0,608897.3004,0.0012539700563720653,0.07104339445478755,1245385.344299999,1102721.1351
2026-01-13,2644060.0,183.3764,813761756.99,484858204.18399996,-6721.0,-1232472.7844,-0.002541924162084068,-0.5789395914463499,998890.787419999,1026937.2052550002
2026-01-14,2638438.0,183.5277,815487447.05,484226457.73260003,-5622.0,-1031792.7294000001,-0.002130806181536197,-0.5048550387663165,-454246.83970000094,982959.25941
2026-01-15,2581831.0,182.9751,819110381.04,472410785.4081,-56607.0,-10357671.4857,-0.021925137625197003,-3.0,-2759422.0968400007,280852.052575
2026-01-16,2586331.0,183.6725,826426218.51,475037880.5975,4500.0,826526.2500000001,0.001739916507206541,0.17598250583273234,-2237302.689820001,298600.80001
2026-01-19,2586331.0,183.1991,825348467.79,473813511.5021,0.0,0.0,0.0,-0.111345689206119,-2359082.149900001,202347.17001
2026-01-20,2569221.0,180.7465,814299008.05,464377703.4765,-17110.0,-3092572.6149999998,-0.006659606160777916,-1.1754865818644362,-2731102.116020001,942.748310000007
2026-01-21,2569221.0,180.8942,816954018.14,464757177.4182,0.0,0.0,0.0,-0.10298304724318856,-2524743.5701400014,41110.11559000001
2026-01-22,2569221.0,183.2162,827440550.96,470722908.58019996,0.0,0.0,0.0,-0.10433043300599952,-453209.2730000011,-240570.46073
2026-01-23,2558112.0,181.9744,823833942.15,465510896.33280003,-11109.0,-2021553.6096,-0.004342655833677337,-0.7982341141734178,-1022825.2449200011,-341648.14121
2026-01-26,2561546.0,183.3868,831328712.36,469753723.9928,3434.0,629750.2712,0.0013405966553011344,0.11262734799105549,-896875.1906800012,-511537.64126500004
2026-01-27,2560324.0,184.6681,837136947.22,472810168.46440005,-1222.0,-225664.41820000001,-0.0004772833438267969,-0.17893567797512797,-323493.55132000113,-522820.862175
2026-01-28,2571195.0,182.6276,828434949.16,469571171.982,10871.0,1985344.6396,0.004227995154004267,0.5709267443150106,73575.37659999887,-423553.63019500003
2026-01-29,2569265.0,182.4383,828022149.03,468732338.8495,-1930.0,-352105.919,-0.000751187596452682,-0.24832635324676125,3154.1927999988666,-441158.92614500003
2026-01-30,2562055.0,185.4545,841711943.54,475144628.9975,-7210.0,-1337126.945,-0.002814147237276327,-0.582588287582131,140039.52571999887,-508015.273395
2026-02-02,2567164.0,187.8802,889643517.22,482319285.7528,5109.0,959879.9418,0.001990133859776781,0.1985007562240565,206065.4598399989,-451126.63411
2026-02-03,2573164.0,187.9195,890957028.3,483547692.298,6000.0,1127517.0,0.00233175965465085,0.24904305826507575,476701.7434799989,-394750.78411
2026-02-04,2599247.0,187.7559,895344995.71,488023959.8073,26083.0,4897237.1397,0.010034829317875525,1.4793092590789045,1059080.243499999,-461583.697435
2026-02-05,2596339.0,184.0562,878827219.79,477872290.2518,-2908.0,-535235.4295999999,-0.0011200386390220998,-0.3273789940741229,1022454.341379999,-546755.7089150001
2026-02-06,2594702.0,186.0948,891744993.8,482860549.7496,-1637.0,-304637.1876,-0.0006309009666620676,-0.2434193012574012,1228952.292859999,-472784.02904000005
2026-02-09,2594702.0,188.7032,905028282.42,489628570.44640005,0.0,0.0,0.0,-0.1419340278353514,1036976.3044999989,-503228.89406
2026-02-10,2599202.0,187.942,903050099.58,488499222.28400004,4500.0,845739.0,0.0017313006068785726,0.1348430756519567,980620.7044999988,-399318.30484
2026-02-11,2604702.0,187.1386,900219251.83,487440285.6972,5500.0,1029262.2999999999,0.0021115659296149806,0.19360673191270028,207025.73655999888,-296265.55337
2026-02-12,2609407.0,185.6017,894393402.8,484310375.19189996,4705.0,873255.9985,0.0018030916602891002,0.13811417734432246,488724.0221799988,265280.82084000006
2026-02-13,2652185.0,183.2717,887578529.32,486070453.6645,42778.0,7839996.7826000005,0.01612934241012599,2.380917394124584,2117650.816219999,615954.34747
2026-02-16,2657185.0,185.0899,898395171.2,491818105.9315,5000.0,925449.5,0.0018816905860901667,0.12108716195105454,2302740.716219999,662226.82247
