date,nav
2019-02-21,171.558567
2019-02-22,172.905757
2019-02-25,173.510004
2019-02-26,173.698673
2019-02-27,173.553883
2019-02-28,173.12086
2019-03-01,174.433848
2019-03-04,174.414907
2019-03-05,174.558844
2019-03-06,173.496602
2019-03-07,171.432314
2019-03-08,171.156987
2019-03-11,174.767388
2019-03-12,175.673598
2019-03-13,177.028742
2019-03-14,176.711383
2019-03-15,178.269731
2019-03-18,178.41429
2019-03-19,178.988961
2019-03-20,179.779962
2019-03-21,182.519605
2019-03-22,178.443709
2019-03-25,178.220892
2019-03-26,179.052781
2019-03-27,178.011796
2019-03-28,178.32347
2019-03-29,179.740521
2019-04-01,182.166529
2019-04-02,182.703739
2019-04-03,183.806841
2019-04-04,183.735778
2019-04-05,184.665114
2019-04-08,185.173168
2019-04-09,184.41366
2019-04-10,185.45984
2019-04-11,185.05465
2019-04-12,185.862122
2019-04-15,185.88479
2019-04-16,186.507548
2019-04-17,187.139685
2019-04-18,187.35468
2019-04-19,187.35468
2019-04-22,187.932665
2019-04-23,190.302202
2019-04-24,189.660786
2019-04-25,190.451553
2019-04-26,190.689541
2019-04-29,190.989567
2019-04-30,189.587884
2019-05-01,188.865757
2019-05-02,188.188056
2019-05-03,191.164719
2019-05-06,189.938098
2019-05-07,186.188457
2019-05-08,185.647176
2019-05-09,184.80631
2019-05-10,184.969347
2019-05-13,178.580411
2019-05-14,180.480585
2019-05-15,183.021894
2019-05-16,184.913909
2019-05-17,183.061304
2019-05-20,179.971458
2019-05-21,181.785397
2019-05-22,181.05036
2019-05-23,178.307915
2019-05-24,178.134173
2019-05-27,178.134173
2019-05-28,177.583057
2019-05-29,176.086766
2019-05-30,176.807084
2019-05-31,173.94401
2019-06-03,170.291857
2019-06-04,174.886401
2019-06-05,176.22098
2019-06-06,177.591062
2019-06-07,181.031218
2019-06-10,183.093154
2019-06-11,183.386185
2019-06-12,182.373396
2019-06-13,183.340202
2019-06-14,182.568463
2019-06-17,183.723086
2019-06-18,186.373141
2019-06-19,187.15951
2019-06-20,188.870567
2019-06-21,188.665412
2019-06-24,188.108522
2019-06-25,184.905876
2019-06-26,185.769646
2019-06-27,186.51274
2019-06-28,186.851209
2019-07-01,189.213645
2019-07-02,190.005688
2019-07-03,191.449259
2019-07-04,191.449259
2019-07-05,191.047049
2019-07-08,189.694239
2019-07-09,190.696039
2019-07-10,192.558778
2019-07-11,192.396413
2019-07-12,193.524667
2019-07-15,194.10033
2019-07-16,193.128948
2019-07-17,192.194945
2019-07-18,192.568152
2019-07-19,190.879126
2019-07-22,192.587964
2019-07-23,193.790867
2019-07-24,195.157229
2019-07-25,193.190237
2019-07-26,195.307628
2019-07-29,194.627917
2019-07-30,193.751796
2019-07-31,191.232825
2019-08-01,190.072553
2019-08-02,187.431209
2019-08-05,180.682632
2019-08-06,183.288795
2019-08-07,184.042241
2019-08-08,188.253267
2019-08-09,186.409573
2019-08-12,184.348936
2019-08-13,188.403908
2019-08-14,182.70115
2019-08-15,182.574915
2019-08-16,185.475069
2019-08-19,188.289074
2019-08-20,186.965307
2019-08-21,188.649947
2019-08-22,188.022648
2019-08-23,182.117089
2019-08-26,184.797005
2019-08-27,184.577054
2019-08-28,185.113727
2019-08-29,187.914192
2019-08-30,187.637358
2019-09-02,187.637358
2019-09-03,185.655243
2019-09-04,188.326343
2019-09-05,191.845893
2019-09-06,191.599243
2019-09-09,191.107876
2019-09-10,190.676771
2019-09-11,192.46854
2019-09-12,193.223622
2019-09-13,192.629024
2019-09-16,191.640721
2019-09-17,192.525407
2019-09-18,192.518759
2019-09-19,192.840004
2019-09-20,190.95532
2019-09-23,190.449756
2019-09-24,187.806412
2019-09-25,190.082045
2019-09-26,189.312784
2019-09-27,187.119288
2019-09-30,188.77469
2019-10-01,187.205023
2019-10-02,183.956715
2019-10-03,186.128919
2019-10-04,188.943414
2019-10-07,188.236864
2019-10-08,185.292837
2019-10-09,187.395411
2019-10-10,188.607984
2019-10-11,191.125515
2019-10-14,191.08694
2019-10-15,193.533562
2019-10-16,192.980776
2019-10-17,193.513849
2019-10-18,191.717206
2019-10-21,193.465867
2019-10-22,191.864666
2019-10-23,192.225388
2019-10-24,194.108203
2019-10-25,195.626915
2019-10-28,197.609243
2019-10-29,196.070202
2019-10-30,196.955159
2019-10-31,196.985067
2019-11-01,198.86503
2019-11-04,200.070855
2019-11-05,200.058886
2019-11-06,199.744944
2019-11-07,200.398024
2019-11-08,201.281833
2019-11-11,200.940454
2019-11-12,201.483214
2019-11-13,201.387713
2019-11-14,201.369146
2019-11-15,202.783193
2019-11-18,203.101132
2019-11-19,203.349833
2019-11-20,202.099304
2019-11-21,201.655744
2019-11-22,201.810634
2019-11-25,204.241553
2019-11-26,204.579948
2019-11-27,206.020128
2019-11-28,206.020128
2019-11-29,205.020626
2019-12-02,202.721823
2019-12-03,201.392865
2019-12-04,202.426747
2019-12-05,202.759553
2019-12-06,204.9225
2019-12-09,204.078408
2019-12-10,203.875351
2019-12-11,205.050669
2019-12-12,206.642963
2019-12-13,207.148479
2019-12-16,209.159285
2019-12-17,209.288873
2019-12-18,209.407737
2019-12-19,210.883732
2019-12-20,211.815611
2019-12-23,211.783771
2019-12-24,211.871739
2019-12-25,211.871739
2019-12-26,213.791672
2019-12-27,213.609212
2019-12-30,212.128484
2019-12-31,212.694621
2020-01-01,212.694621
2020-01-02,216.123654
2020-01-03,214.213167
2020-01-06,215.541771
2020-01-07,215.513268
2020-01-08,217.11725
2020-01-09,219.000654
2020-01-10,218.437184
2020-01-13,220.968601
2020-01-14,220.060947
2020-01-15,220.114454
2020-01-16,222.288475
2020-01-17,223.470248
2020-01-20,223.470248
2020-01-21,223.295962
2020-01-22,223.829156
2020-01-23,224.519709
2020-01-24,222.677224
2020-01-27,218.066881
2020-01-28,221.4443
2020-01-29,221.703156
2020-01-30,222.565115
2020-01-31,219.046434
2020-02-03,222.325655
2020-02-04,227.38594
2020-02-05,228.210279
2020-02-06,230.160457
2020-02-07,229.130037
2020-02-10,231.953827
2020-02-11,231.978834
2020-02-12,234.299062
2020-02-13,233.894613
2020-02-14,234.571241
2020-02-17,234.571241
2020-02-18,234.735985
2020-02-19,236.982493
2020-02-20,234.77325
2020-02-21,230.358625
2020-02-24,221.420999
2020-02-25,215.459062
2020-02-26,216.408106
2020-02-27,205.779267
2020-02-28,206.391916
2020-03-02,216.524884
2020-03-03,209.623563
2020-03-04,218.279486
2020-03-05,211.550734
2020-03-06,208.105789
2020-03-09,193.925145
2020-03-10,204.255313
2020-03-11,195.337589
2020-03-12,177.306089
2020-03-13,195.121865
2020-03-16,171.382462
2020-03-17,182.427137
2020-03-18,175.150283
2020-03-19,177.909621
2020-03-20,170.772585
2020-03-23,170.715863
2020-03-24,184.039276
2020-03-25,181.987269
2020-03-26,192.398674
2020-03-27,184.875577
2020-03-30,192.209068
2020-03-31,190.394005
2020-04-01,182.422668
2020-04-02,186.10427
2020-04-03,183.481812
2020-04-06,196.963469
2020-04-07,196.174439
2020-04-08,200.563282
2020-04-09,200.781185
2020-04-10,200.781185
2020-04-13,203.07435
2020-04-14,211.83498
2020-04-15,209.393007
2020-04-16,213.431976
2020-04-17,215.245277
2020-04-20,212.664278
2020-04-21,204.783903
2020-04-22,211.155151
2020-04-23,210.590467
2020-04-24,214.123513
2020-04-27,215.369217
2020-04-28,211.469661
2020-04-29,218.901091
2020-04-30,219.340102
2020-05-01,212.480465
2020-05-04,215.302978
2020-05-05,217.652364
2020-05-06,219.006374
