date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2014-08-13,6.664795,611219707.0,0.0,4073654562.8,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-14,6.693241,611219707.0,0.0,4091041251.04,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-15,6.696967,611219707.0,0.0,4093318365.3,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-18,6.749098,611219707.0,0.0,4125182122.63,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-19,6.787125,611219707.0,0.0,4148425064.45,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-20,6.72093,611219707.0,0.0,4107964942.58,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-21,6.742934,611219707.0,0.0,4121414217.64,0.0,0.0,0.10356124159781761,0.0,0.0
2014-08-22,6.740517,611219707.0,0.0,4119937293.82,0.0,0.0,0.10356124159781761,0.0,0.0
2014-08-26,6.787561,611219707.0,0.0,4148691049.55,0.0,0.0,0.10356124159781761,0.0,0.0
2014-08-27,6.797315,611219707.0,0.0,4154653052.06,0.0,0.0,0.10356124159781761,0.0,0.0
2014-08-28,6.77254,611219707.0,0.0,4139510184.56,0.0,0.0,0.10356124159781761,0.0,0.0
2014-08-29,6.786181,611219707.0,0.0,4147847620.12,0.0,0.0,0.10356124159781761,0.0,0.0
2014-09-01,6.791564,588219707.0,-23000000.0,3994931845.94,-156205972.0,-0.03910103551797766,-10.308430295471055,-31241194.399999984,-7810298.600000003
2014-09-02,6.795442,588219707.0,0.0,3997213380.93,0.0,0.0,0.11957226283396646,-31241194.399999984,-7810298.600000003
2014-09-03,6.844578,588219707.0,0.0,4026115735.67,0.0,0.0,0.11957226283396646,-31241194.399999984,-7810298.600000003
2014-09-04,6.848918,586419707.0,-1800000.0,4016340963.46,-12328052.4,-0.0030694735611738557,-0.6908560748244068,-33706804.87999998,-8426701.220000003
2014-09-05,6.826178,586419707.0,0.0,4003005476.87,0.0,0.0,0.12614579247751642,-33706804.87999998,-8426701.220000003
2014-09-08,6.805896,586019707.0,-400000.0,3988389504.56,-2722358.4,-0.0006825708464249735,-0.054023084920904955,-3010082.1599999825,-8562819.140000004
2014-09-09,6.800106,586019707.0,0.0,3984996654.32,0.0,0.0,0.10673957147557735,-3010082.1599999825,-8562819.140000004
2014-09-10,6.802403,586019707.0,0.0,3986342217.0,0.0,0.0,0.10673957147557735,-3010082.1599999825,-8562819.140000004
2014-09-11,6.771788,586019707.0,0.0,3968401741.64,0.0,0.0,0.10673957147557735,-544471.6799999821,-8562819.140000004
2014-09-12,6.779053,586019707.0,0.0,3972658729.05,0.0,0.0,0.10673957147557735,-544471.6799999821,-8562819.140000004
2014-09-15,6.776122,586019707.0,0.0,3970941427.93,0.0,0.0,0.10673957147557735,0.0,-8562819.140000004
2014-09-16,6.764166,586019707.0,0.0,3963934658.82,0.0,0.0,0.10673957147557735,0.0,-8562819.140000004
2014-09-17,6.753068,586019707.0,0.0,3957431102.33,0.0,0.0,0.10673957147557735,0.0,-8562819.140000004
2014-09-18,6.79109,586019707.0,0.0,3979712945.28,0.0,0.0,0.10673957147557735,0.0,-8562819.140000004
2014-09-19,6.809596,586019707.0,0.0,3990557622.34,0.0,0.0,0.10673957147557735,0.0,-8562819.140000004
2014-09-22,6.745325,586019707.0,0.0,3952893560.73,0.0,0.0,0.10673957147557735,0.0,-8562819.140000004
2014-09-23,6.648108,586019707.0,0.0,3895922874.33,0.0,0.0,0.10523819349899823,0.0,-8562819.140000004
2014-09-24,6.679549,586019707.0,0.0,3914347877.91,0.0,0.0,0.10373615264585379,0.0,-8562819.140000004
2014-09-25,6.613235,586019707.0,0.0,3875486475.72,0.0,0.0,0.10373615264585379,0.0,-8562819.140000004
2014-09-26,6.622859,586019707.0,0.0,3881126064.02,0.0,0.0,0.10373615264585379,0.0,-8562819.140000004
2014-09-29,6.619829,586019707.0,0.0,3879350380.24,0.0,0.0,0.10373615264585379,0.0,-752520.5400000031
2014-09-30,6.596069,586019707.0,0.0,3865426594.26,0.0,0.0,0.10373615264585379,0.0,-752520.5400000031
2014-10-01,6.531673,586019707.0,0.0,3827689498.48,0.0,0.0,0.10373615264585379,0.0,-752520.5400000031
2014-10-02,6.420986,586019707.0,0.0,3762824576.55,0.0,0.0,0.10373615264585379,0.0,-136117.92000000298
2014-10-03,6.502028,586019707.0,0.0,3810316908.67,0.0,0.0,0.10373615264585379,0.0,-136117.92000000298
2014-10-06,6.537211,586019707.0,0.0,3830934967.54,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-07,6.469459,586019707.0,0.0,3791230731.29,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-08,6.456159,586019707.0,0.0,3783436617.84,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-09,6.407595,586019707.0,0.0,3754977422.24,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-10,6.316053,586019707.0,0.0,3701331762.39,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-13,6.341924,586019707.0,0.0,3716492879.08,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-14,6.368184,586019707.0,0.0,3731881780.13,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-15,6.187735,586019707.0,0.0,3626134794.15,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-16,6.172571,586019707.0,0.0,3617248812.25,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-17,6.286364,586019707.0,0.0,3683933595.08,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-20,6.243124,586019707.0,0.0,3658594107.49,0.0,0.0,0.10373615264585379,0.0,0.0
